Censys_missed_chi2,Censys_missed_lsvc,Censys_missed_rf,Censys_delay_chi2,Censys_delay_lsvc,Censys_delay_rf,Entrust_missed_chi2,Entrust_missed_lsvc,Entrust_missed_rf,Entrust_delay_chi2,Entrust_delay_lsvc,Entrust_delay_rf,Facebook_missed_chi2,Facebook_missed_lsvc,Facebook_missed_rf,Facebook_delay_chi2,Facebook_delay_lsvc,Facebook_delay_rf,Google_missed_chi2,Google_missed_lsvc,Google_missed_rf,Google_delay_chi2,Google_delay_lsvc,Google_delay_rf,SSLMate_missed_chi2,SSLMate_missed_lsvc,SSLMate_missed_rf,SSLMate_delay_chi2,SSLMate_delay_lsvc,SSLMate_delay_rf
Censys119: [Suffix: govcn (4.87e-01)],Censys119: [Suffix: vn (0.00e+00)],Censys119: [Suffix: goid (1.85e+02)],Censys119: [Suffix: conz (1.31e+01)],Censys119: [mean string length of targets (0.00e+00)],Censys119: [Suffix: io (1.86e+02)],Entrust119: [Suffix: uolcombr (1.15e+01)],Entrust119: [Suffix: recipes (0.00e+00)],Entrust119: [Suffix: commx (1.84e+02)],Entrust119: [Suffix: money (3.02e+01)],Entrust119: [Suffix: us (0.00e+00)],Entrust119: [Suffix: acir (1.86e+02)],Facebook119: [Suffix: edupe (7.70e-01)],Facebook119: [Suffix: top (0.00e+00)],Facebook119: [Suffix: comhk (1.83e+02)],Facebook119: [Suffix: edupe (7.99e+00)],Facebook119: [Suffix: tube (0.00e+00)],Facebook119: [Suffix: coao (1.83e+02)],Google119: [Suffix: commt (3.50e+00)],Google119: [Suffix: uz (0.00e+00)],Google119: [Suffix: st (1.86e+02)],Google119: [Suffix: co (1.48e+01)],Google119: [Suffix: us (0.00e+00)],Google119: [Suffix: ua (1.86e+02)],SSLMate119: [Suffix: sk (5.39e+01)],SSLMate119: [Suffix: rocks (0.00e+00)],SSLMate119: [Suffix: blogspotcom (1.86e+02)],SSLMate119: [Suffix: coth (8.97e+01)],SSLMate119: [Suffix: us (0.00e+00)],SSLMate119: [Suffix: comsa (1.86e+02)]
Censys120: [Suffix: biz (4.67e-01)],Censys120: [Suffix: uz (0.00e+00)],Censys120: [Suffix: acir (1.84e+02)],Censys120: [Suffix: combr (1.25e+01)],Censys120: [max string length of targets (0.00e+00)],Censys120: [Suffix: comsg (1.85e+02)],Entrust120: [Suffix: ro (1.10e+01)],Entrust120: [Suffix: ua (0.00e+00)],Entrust120: [Suffix: prgovbr (1.83e+02)],Entrust120: [Suffix: govbr (2.86e+01)],Entrust120: [Suffix: uolcombr (0.00e+00)],Entrust120: [Suffix: pt (1.85e+02)],Facebook120: [Suffix: edusg (7.47e-01)],Facebook120: [Suffix: recipes (0.00e+00)],Facebook120: [Suffix: govit (1.82e+02)],Facebook120: [Suffix: gouvfr (7.48e+00)],Facebook120: [Suffix: ren (0.00e+00)],Facebook120: [Suffix: biz (1.82e+02)],Google120: [Suffix: sk (3.36e+00)],Google120: [Suffix: us (0.00e+00)],Google120: [Suffix: fm (1.85e+02)],Google120: [Suffix: ackr (1.46e+01)],Google120: [Suffix: uolcombr (0.00e+00)],Google120: [Suffix: coao (1.85e+02)],SSLMate120: [Suffix: lt (5.35e+01)],SSLMate120: [Suffix: video (0.00e+00)],SSLMate120: [Suffix: blog (1.85e+02)],SSLMate120: [Suffix: orjp (8.60e+01)],SSLMate120: [Suffix: uolcombr (0.00e+00)],SSLMate120: [Suffix: gojp (1.85e+02)]
Censys121: [Suffix: coth (4.59e-01)],Censys121: [Suffix: sa (0.00e+00)],Censys121: [Suffix: gocom (1.83e+02)],Censys121: [Suffix: money (1.25e+01)],Censys121: [Suffix: work (0.00e+00)],Censys121: [Suffix: dz (1.84e+02)],Entrust121: [Suffix: pe (1.08e+01)],Entrust121: [Suffix: tv (0.00e+00)],Entrust121: [Suffix: live (1.82e+02)],Entrust121: [min string length of targets (2.65e+01)],Entrust121: [Suffix: ua (0.00e+00)],Entrust121: [Suffix: design (1.84e+02)],Facebook121: [Suffix: cz (7.32e-01)],Facebook121: [Suffix: ren (0.00e+00)],Facebook121: [Suffix: gcca (1.81e+02)],Facebook121: [Suffix: govaf (7.09e+00)],Facebook121: [Suffix: ro (0.00e+00)],Facebook121: [Suffix: comsa (1.81e+02)],Google121: [Suffix: lt (3.34e+00)],Google121: [Suffix: uolcombr (0.00e+00)],Google121: [Suffix: store (1.84e+02)],Google121: [Suffix: commt (1.45e+01)],Google121: [Suffix: ua (0.00e+00)],Google121: [Suffix: coil (1.84e+02)],SSLMate121: [Suffix: us (5.31e+01)],SSLMate121: [Suffix: us (0.00e+00)],SSLMate121: [Suffix: biz (1.84e+02)],SSLMate121: [Suffix: govuk (8.44e+01)],SSLMate121: [Suffix: ua (0.00e+00)],SSLMate121: [Suffix: edusg (1.84e+02)]
Censys122: [Start2LoggedSub (4.36e-01)],Censys122: [Suffix: sc (0.00e+00)],Censys122: [Suffix: gobmx (1.82e+02)],Censys122: [Suffix: comtw (1.20e+01)],Censys122: [Suffix: pw (0.00e+00)],Censys122: [Suffix: xxx (1.83e+02)],Entrust122: [Suffix: mu (1.02e+01)],Entrust122: [Suffix: ro (0.00e+00)],Entrust122: [Suffix: compk (1.81e+02)],Entrust122: [Suffix: govtw (2.64e+01)],Entrust122: [Suffix: tw (0.00e+00)],Entrust122: [Suffix: acth (1.83e+02)],Facebook122: [Suffix: govit (7.14e-01)],Facebook122: [Suffix: ro (0.00e+00)],Facebook122: [Suffix: acza (1.80e+02)],Facebook122: [Suffix: tv (7.05e+00)],Facebook122: [Suffix: rocks (0.00e+00)],Facebook122: [Suffix: id (1.80e+02)],Google122: [Suffix: us (3.31e+00)],Google122: [Suffix: rs (0.00e+00)],Google122: [Suffix: farm (1.83e+02)],Google122: [Suffix: cz (1.44e+01)],Google122: [Suffix: tw (0.00e+00)],Google122: [Suffix: pt (1.83e+02)],SSLMate122: [Suffix: mil (5.24e+01)],SSLMate122: [Suffix: ru (0.00e+00)],SSLMate122: [Suffix: bet (1.83e+02)],SSLMate122: [Suffix: acza (8.30e+01)],SSLMate122: [Suffix: tw (0.00e+00)],SSLMate122: [Suffix: no (1.83e+02)]
Censys123: [Suffix: comtr (3.76e-01)],Censys123: [Suffix: schid (0.00e+00)],Censys123: [Suffix: gobes (1.81e+02)],Censys123: [Suffix: eduau (1.15e+01)],Censys123: [Suffix: to (0.00e+00)],Censys123: [Suffix: tmallcom (1.82e+02)],Entrust123: [Suffix: me (1.01e+01)],Entrust123: [Suffix: rocks (0.00e+00)],Entrust123: [Suffix: biz (1.80e+02)],Entrust123: [Suffix: in (2.63e+01)],Entrust123: [Suffix: rocks (0.00e+00)],Entrust123: [Suffix: at (1.82e+02)],Facebook123: [Suffix: mx (7.14e-01)],Facebook123: [Suffix: rocks (0.00e+00)],Facebook123: [Suffix: goid (1.79e+02)],Facebook123: [Suffix: govit (6.78e+00)],Facebook123: [Suffix: rs (0.00e+00)],Facebook123: [Suffix: cc (1.79e+02)],Google123: [Suffix: biz (3.29e+00)],Google123: [Suffix: ru (0.00e+00)],Google123: [Suffix: expert (1.82e+02)],Google123: [Suffix: comeg (1.39e+01)],Google123: [Suffix: rocks (0.00e+00)],Google123: [Suffix: govin (1.82e+02)],SSLMate123: [Suffix: vn (5.20e+01)],SSLMate123: [Suffix: sa (0.00e+00)],SSLMate123: [Suffix: best (1.82e+02)],SSLMate123: [Suffix: az (8.21e+01)],SSLMate123: [Suffix: rocks (0.00e+00)],SSLMate123: [Suffix: biz (1.82e+02)]
Censys124: [Suffix: cc (3.71e-01)],Censys124: [Suffix: se (0.00e+00)],Censys124: [Suffix: gobec (1.80e+02)],Censys124: [Suffix: coil (9.72e+00)],Censys124: [Suffix: tk (0.00e+00)],Censys124: [Suffix: wvus (1.81e+02)],Entrust124: [Suffix: conz (9.63e+00)],Entrust124: [Suffix: rs (0.00e+00)],Entrust124: [Suffix: at (1.79e+02)],Entrust124: [Suffix: su (2.61e+01)],Entrust124: [Suffix: rs (0.00e+00)],Entrust124: [Suffix: cokr (1.81e+02)],Facebook124: [Suffix: govin (7.03e-01)],Facebook124: [Suffix: rs (0.00e+00)],Facebook124: [Suffix: ee (1.78e+02)],Facebook124: [Start hour (6.54e+00)],Facebook124: [Suffix: ru (0.00e+00)],Facebook124: [Suffix: bet (1.78e+02)],Google124: [Suffix: vn (3.27e+00)],Google124: [Suffix: sa (0.00e+00)],Google124: [Suffix: eu (1.81e+02)],Google124: [Suffix: comsa (1.34e+01)],Google124: [Suffix: rs (0.00e+00)],Google124: [Suffix: govbr (1.81e+02)],SSLMate124: [Suffix: biz (5.20e+01)],SSLMate124: [Suffix: sc (0.00e+00)],SSLMate124: [Suffix: beltr (1.81e+02)],SSLMate124: [Suffix: biz (7.28e+01)],SSLMate124: [Suffix: rs (0.00e+00)],SSLMate124: [Suffix: comco (1.81e+02)]
Censys125: [Suffix: info (3.67e-01)],Censys125: [Suffix: segovbr (0.00e+00)],Censys125: [Suffix: gobcl (1.79e+02)],Censys125: [Suffix: mu (9.25e+00)],Censys125: [Suffix: recbr (0.00e+00)],Censys125: [Suffix: comhk (1.80e+02)],Entrust125: [Suffix: at (7.72e+00)],Entrust125: [Suffix: ru (0.00e+00)],Entrust125: [Suffix: tw (1.78e+02)],Entrust125: [Suffix: conz (2.57e+01)],Entrust125: [Suffix: ru (0.00e+00)],Entrust125: [Suffix: us (1.80e+02)],Facebook125: [Suffix: blogspotcom (7.03e-01)],Facebook125: [Suffix: ru (0.00e+00)],Facebook125: [Suffix: cokr (1.77e+02)],Facebook125: [Suffix: wiki (6.32e+00)],Facebook125: [Suffix: sa (0.00e+00)],Facebook125: [Suffix: govin (1.77e+02)],Google125: [Suffix: gouvfr (3.20e+00)],Google125: [Suffix: sc (0.00e+00)],Google125: [Suffix: studio (1.80e+02)],Google125: [Suffix: educn (1.34e+01)],Google125: [Suffix: ru (0.00e+00)],Google125: [Suffix: money (1.80e+02)],SSLMate125: [Suffix: gouvfr (5.13e+01)],SSLMate125: [Suffix: schid (0.00e+00)],SSLMate125: [Suffix: be (1.80e+02)],SSLMate125: [Suffix: coao (7.10e+01)],SSLMate125: [Suffix: ru (0.00e+00)],SSLMate125: [Suffix: money (1.80e+02)]
Censys126: [Suffix: compe (3.67e-01)],Censys126: [Suffix: sg (0.00e+00)],Censys126: [Suffix: gg (1.78e+02)],Censys126: [Suffix: schid (8.97e+00)],Censys126: [Suffix: recipes (0.00e+00)],Censys126: [Suffix: legbr (1.79e+02)],Entrust126: [min string length of domains (7.32e+00)],Entrust126: [Suffix: sa (0.00e+00)],Entrust126: [Suffix: comsa (1.77e+02)],Entrust126: [Suffix: cokr (2.53e+01)],Entrust126: [Suffix: sa (0.00e+00)],Entrust126: [Suffix: acin (1.79e+02)],Facebook126: [Suffix: govuk (6.67e-01)],Facebook126: [Suffix: sa (0.00e+00)],Facebook126: [Suffix: cove (1.76e+02)],Facebook126: [Suffix: coin (6.31e+00)],Facebook126: [Suffix: sc (0.00e+00)],Facebook126: [Suffix: money (1.76e+02)],Google126: [Suffix: gg (3.08e+00)],Google126: [Suffix: schid (0.00e+00)],Google126: [Suffix: ee (1.79e+02)],Google126: [Suffix: govuk (1.31e+01)],Google126: [Suffix: sa (0.00e+00)],Google126: [Suffix: gojp (1.79e+02)],SSLMate126: [Suffix: gg (4.94e+01)],SSLMate126: [Suffix: se (0.00e+00)],SSLMate126: [Suffix: bank (1.79e+02)],SSLMate126: [Suffix: commt (6.88e+01)],SSLMate126: [Suffix: sa (0.00e+00)],SSLMate126: [Suffix: combo (1.79e+02)]
Censys127: [Suffix: sk (3.51e-01)],Censys127: [Suffix: sh (0.00e+00)],Censys127: [Suffix: design (1.77e+02)],Censys127: [Suffix: biz (8.33e+00)],Censys127: [Suffix: ren (0.00e+00)],Censys127: [Suffix: coza (1.78e+02)],Entrust127: [Suffix: gcca (7.23e+00)],Entrust127: [Suffix: sc (0.00e+00)],Entrust127: [Suffix: wvus (1.76e+02)],Entrust127: [Suffix: no (2.45e+01)],Entrust127: [Suffix: sc (0.00e+00)],Entrust127: [Suffix: coil (1.78e+02)],Facebook127: [Suffix: govpt (6.58e-01)],Facebook127: [Suffix: sc (0.00e+00)],Facebook127: [Suffix: comar (1.75e+02)],Facebook127: [Suffix: co (5.97e+00)],Facebook127: [Suffix: schid (0.00e+00)],Facebook127: [Suffix: hu (1.75e+02)],Google127: [Suffix: govcn (3.03e+00)],Google127: [Suffix: se (0.00e+00)],Google127: [Suffix: download (1.78e+02)],Google127: [Suffix: govin (1.28e+01)],Google127: [Suffix: sc (0.00e+00)],Google127: [Suffix: combo (1.78e+02)],SSLMate127: [Suffix: govcn (4.87e+01)],SSLMate127: [Suffix: segovbr (0.00e+00)],SSLMate127: [Suffix: cloud (1.78e+02)],SSLMate127: [Suffix: acir (6.77e+01)],SSLMate127: [Suffix: sc (0.00e+00)],SSLMate127: [Suffix: ua (1.78e+02)]
Censys128: [Suffix: lt (3.23e-01)],Censys128: [Suffix: is (0.00e+00)],Censys128: [Suffix: gentr (1.76e+02)],Censys128: [Suffix: br (8.32e+00)],Censys128: [Suffix: ro (0.00e+00)],Censys128: [Suffix: us (1.77e+02)],Entrust128: [Suffix: cn (7.06e+00)],Entrust128: [Suffix: schid (0.00e+00)],Entrust128: [Suffix: si (1.75e+02)],Entrust128: [Suffix: gouvfr (2.39e+01)],Entrust128: [Suffix: schid (0.00e+00)],Entrust128: [Suffix: sk (1.77e+02)],Facebook128: [Suffix: ir (6.49e-01)],Facebook128: [Suffix: schid (0.00e+00)],Facebook128: [Suffix: compk (1.74e+02)],Facebook128: [Suffix: gobmx (5.92e+00)],Facebook128: [Suffix: se (0.00e+00)],Facebook128: [Suffix: edupe (1.74e+02)],Google128: [Suffix: comeg (2.94e+00)],Google128: [Suffix: segovbr (0.00e+00)],Google128: [Suffix: su (1.77e+02)],Google128: [Suffix: commx (1.16e+01)],Google128: [Suffix: schid (0.00e+00)],Google128: [Suffix: comsa (1.77e+02)],SSLMate128: [Suffix: comeg (4.57e+01)],SSLMate128: [Suffix: sg (0.00e+00)],SSLMate128: [Suffix: ba (1.77e+02)],SSLMate128: [Suffix: io (6.63e+01)],SSLMate128: [Suffix: schid (0.00e+00)],SSLMate128: [Suffix: govin (1.77e+02)]
Censys129: [MinStart2LoggedSub (3.23e-01)],Censys129: [Suffix: si (0.00e+00)],Censys129: [Suffix: gcca (1.75e+02)],Censys129: [Suffix: support (7.88e+00)],Censys129: [Suffix: rocks (0.00e+00)],Censys129: [Suffix: goid (1.76e+02)],Entrust129: [Suffix: us (6.94e+00)],Entrust129: [Suffix: se (0.00e+00)],Entrust129: [Suffix: ma (1.74e+02)],Entrust129: [Suffix: coza (2.31e+01)],Entrust129: [Suffix: se (0.00e+00)],Entrust129: [Suffix: comsa (1.76e+02)],Facebook129: [Suffix: ng (6.47e-01)],Facebook129: [Suffix: se (0.00e+00)],Facebook129: [Suffix: tv (1.73e+02)],Facebook129: [Suffix: be (5.88e+00)],Facebook129: [Suffix: io (0.00e+00)],Facebook129: [Suffix: nl (1.73e+02)],Google129: [Suffix: ie (2.75e+00)],Google129: [Suffix: sg (0.00e+00)],Google129: [Suffix: edusg (1.76e+02)],Google129: [Suffix: gouvfr (1.13e+01)],Google129: [Suffix: se (0.00e+00)],Google129: [Suffix: su (1.76e+02)],SSLMate129: [Suffix: ie (4.49e+01)],SSLMate129: [Suffix: sh (0.00e+00)],SSLMate129: [Suffix: az (1.76e+02)],SSLMate129: [Suffix: uolcombr (6.46e+01)],SSLMate129: [Suffix: se (0.00e+00)],SSLMate129: [Suffix: tw (1.76e+02)]
Censys130: [Suffix: gcca (3.15e-01)],Censys130: [Suffix: site (0.00e+00)],Censys130: [Suffix: acjp (1.74e+02)],Censys130: [Suffix: govsa (7.88e+00)],Censys130: [Suffix: rs (0.00e+00)],Censys130: [Suffix: ma (1.75e+02)],Entrust130: [Suffix: schid (6.70e+00)],Entrust130: [Suffix: segovbr (0.00e+00)],Entrust130: [Suffix: hr (1.73e+02)],Entrust130: [Suffix: tw (2.12e+01)],Entrust130: [Suffix: segovbr (0.00e+00)],Entrust130: [Suffix: acid (1.75e+02)],Facebook130: [Suffix: id (6.36e-01)],Facebook130: [Suffix: io (0.00e+00)],Facebook130: [Suffix: nl (1.72e+02)],Facebook130: [Suffix: pt (5.78e+00)],Facebook130: [Suffix: sh (0.00e+00)],Facebook130: [Suffix: gcca (1.72e+02)],Google130: [Suffix: compk (2.73e+00)],Google130: [Suffix: sh (0.00e+00)],Google130: [Suffix: edupk (1.75e+02)],Google130: [Suffix: edupe (1.09e+01)],Google130: [Suffix: segovbr (0.00e+00)],Google130: [Suffix: acth (1.75e+02)],SSLMate130: [Suffix: compk (4.30e+01)],SSLMate130: [Suffix: is (0.00e+00)],SSLMate130: [Suffix: at (1.75e+02)],SSLMate130: [Suffix: gouvfr (6.05e+01)],SSLMate130: [Suffix: segovbr (0.00e+00)],SSLMate130: [Suffix: orjp (1.75e+02)]
Censys131: [Suffix: pe (3.11e-01)],Censys131: [Suffix: sk (0.00e+00)],Censys131: [Suffix: games (1.73e+02)],Censys131: [Suffix: acth (7.43e+00)],Censys131: [Suffix: ru (0.00e+00)],Censys131: [Suffix: govtw (1.74e+02)],Entrust131: [Suffix: expert (6.56e+00)],Entrust131: [Suffix: sg (0.00e+00)],Entrust131: [Suffix: pt (1.72e+02)],Entrust131: [Suffix: govin (2.10e+01)],Entrust131: [Suffix: sg (0.00e+00)],Entrust131: [Suffix: online (1.74e+02)],Facebook131: [Suffix: to (6.13e-01)],Facebook131: [Suffix: sh (0.00e+00)],Facebook131: [Suffix: acth (1.71e+02)],Facebook131: [Suffix: coid (4.67e+00)],Facebook131: [Suffix: shcn (0.00e+00)],Facebook131: [Suffix: mil (1.71e+02)],Google131: [Suffix: comsa (2.50e+00)],Google131: [Suffix: is (0.00e+00)],Google131: [Suffix: support (1.74e+02)],Google131: [Suffix: by (1.05e+01)],Google131: [Suffix: sg (0.00e+00)],Google131: [Suffix: io (1.74e+02)],SSLMate131: [AvgStart2LoggedSub (4.17e+01)],SSLMate131: [Suffix: si (0.00e+00)],SSLMate131: [Suffix: app (1.74e+02)],SSLMate131: [Suffix: dz (6.05e+01)],SSLMate131: [Suffix: sg (0.00e+00)],SSLMate131: [Suffix: edupe (1.74e+02)]
Censys132: [Suffix: acir (3.11e-01)],Censys132: [Suffix: software (0.00e+00)],Censys132: [Suffix: fun (1.72e+02)],Censys132: [Suffix: orgco (7.42e+00)],Censys132: [Suffix: sa (0.00e+00)],Censys132: [Suffix: vn (1.73e+02)],Entrust132: [Suffix: ru (5.56e+00)],Entrust132: [Suffix: ir (0.00e+00)],Entrust132: [Suffix: pk (1.71e+02)],Entrust132: [Suffix: mx (1.92e+01)],Entrust132: [Suffix: sh (0.00e+00)],Entrust132: [Suffix: info (1.73e+02)],Facebook132: [Suffix: acin (5.80e-01)],Facebook132: [Suffix: shcn (0.00e+00)],Facebook132: [Suffix: commx (1.70e+02)],Facebook132: [Suffix: jp (4.57e+00)],Facebook132: [Suffix: shop (0.00e+00)],Facebook132: [Mix cases in target domain names (1.70e+02)],Google132: [Suffix: info (2.50e+00)],Google132: [Suffix: si (0.00e+00)],Google132: [Suffix: edumy (1.73e+02)],Google132: [Suffix: gg (9.12e+00)],Google132: [Suffix: sh (0.00e+00)],Google132: [Suffix: si (1.73e+02)],SSLMate132: [Suffix: comsa (4.00e+01)],SSLMate132: [Suffix: site (0.00e+00)],SSLMate132: [Suffix: ao (1.73e+02)],SSLMate132: [Suffix: us (5.64e+01)],SSLMate132: [Suffix: sh (0.00e+00)],SSLMate132: [Suffix: io (1.73e+02)]
Censys133: [Suffix: compk (3.07e-01)],Censys133: [Suffix: spgovbr (0.00e+00)],Censys133: [Suffix: acth (1.71e+02)],Censys133: [Suffix: cn (7.31e+00)],Censys133: [Suffix: sc (0.00e+00)],Censys133: [Suffix: ao (1.72e+02)],Entrust133: [Suffix: combr (5.49e+00)],Entrust133: [Suffix: shop (0.00e+00)],Entrust133: [Suffix: acth (1.70e+02)],Entrust133: [Suffix: mu (1.90e+01)],Entrust133: [Suffix: is (0.00e+00)],Entrust133: [Suffix: compk (1.72e+02)],Facebook133: [Suffix: pk (5.69e-01)],Facebook133: [Suffix: re (0.00e+00)],Facebook133: [Suffix: beltr (1.69e+02)],Facebook133: [Suffix: eu (4.46e+00)],Facebook133: [Suffix: recbr (0.00e+00)],Facebook133: [Suffix: ws (1.69e+02)],Google133: [Suffix: cc (2.43e+00)],Google133: [Suffix: site (0.00e+00)],Google133: [Suffix: educo (1.72e+02)],Google133: [Suffix: edusg (9.09e+00)],Google133: [Suffix: is (0.00e+00)],Google133: [Suffix: orjp (1.72e+02)],SSLMate133: [Suffix: info (4.00e+01)],SSLMate133: [Suffix: sk (0.00e+00)],SSLMate133: [Suffix: al (1.72e+02)],SSLMate133: [Suffix: su (5.63e+01)],SSLMate133: [Suffix: is (0.00e+00)],SSLMate133: [Suffix: acir (1.72e+02)]
Censys134: [Suffix: wvus (2.87e-01)],Censys134: [Suffix: squarespacecom (0.00e+00)],Censys134: [Suffix: fm (1.70e+02)],Censys134: [Suffix: hr (7.14e+00)],Censys134: [Suffix: schid (0.00e+00)],Censys134: [Suffix: comco (1.71e+02)],Entrust134: [Suffix: info (5.49e+00)],Entrust134: [Suffix: si (0.00e+00)],Entrust134: [Suffix: hk (1.69e+02)],Entrust134: [Suffix: acth (1.88e+01)],Entrust134: [Suffix: si (0.00e+00)],Entrust134: [Suffix: coth (1.71e+02)],Facebook134: [Suffix: schid (5.69e-01)],Facebook134: [Suffix: shop (0.00e+00)],Facebook134: [Suffix: jusbr (1.68e+02)],Facebook134: [Suffix: si (4.42e+00)],Facebook134: [Suffix: si (0.00e+00)],Facebook134: [Suffix: pt (1.68e+02)],Google134: [Suffix: az (2.29e+00)],Google134: [Suffix: sk (0.00e+00)],Google134: [Suffix: educn (1.71e+02)],Google134: [Suffix: comtw (9.03e+00)],Google134: [Suffix: si (0.00e+00)],Google134: [Suffix: cc (1.71e+02)],SSLMate134: [Suffix: cc (3.89e+01)],SSLMate134: [Suffix: software (0.00e+00)],SSLMate134: [Suffix: ai (1.71e+02)],SSLMate134: [Suffix: gg (5.63e+01)],SSLMate134: [Suffix: si (0.00e+00)],SSLMate134: [Suffix: uolcombr (1.71e+02)]
Censys135: [Suffix: edupe (2.75e-01)],Censys135: [Suffix: st (0.00e+00)],Censys135: [Suffix: acza (1.69e+02)],Censys135: [Suffix: vn (7.08e+00)],Censys135: [Suffix: se (0.00e+00)],Censys135: [Suffix: acth (1.70e+02)],Entrust135: [Suffix: edusg (5.49e+00)],Entrust135: [Suffix: tw (0.00e+00)],Entrust135: [Suffix: money (1.68e+02)],Entrust135: [Start hour (1.88e+01)],Entrust135: [Suffix: site (0.00e+00)],Entrust135: [Suffix: prgovbr (1.70e+02)],Facebook135: [Suffix: fm (5.58e-01)],Facebook135: [Suffix: site (0.00e+00)],Facebook135: [Suffix: ren (1.67e+02)],Facebook135: [Suffix: discount (4.39e+00)],Facebook135: [Suffix: sk (0.00e+00)],Facebook135: [Suffix: si (1.67e+02)],Google135: [Suffix: gcca (2.26e+00)],Google135: [Suffix: software (0.00e+00)],Google135: [Suffix: tk (1.70e+02)],Google135: [Suffix: se (8.94e+00)],Google135: [Suffix: site (0.00e+00)],Google135: [Suffix: mil (1.70e+02)],SSLMate135: [Suffix: az (3.67e+01)],SSLMate135: [Suffix: spgovbr (0.00e+00)],SSLMate135: [Suffix: acza (1.70e+02)],SSLMate135: [Suffix: mil (5.24e+01)],SSLMate135: [Suffix: site (0.00e+00)],SSLMate135: [Suffix: acth (1.70e+02)]
Censys136: [Suffix: si (2.71e-01)],Censys136: [Suffix: store (0.00e+00)],Censys136: [Suffix: farm (1.68e+02)],Censys136: [Suffix: govcn (7.06e+00)],Censys136: [Suffix: segovbr (0.00e+00)],Censys136: [Suffix: bet (1.69e+02)],Entrust136: [Suffix: ws (5.49e+00)],Entrust136: [Suffix: site (0.00e+00)],Entrust136: [Suffix: fm (1.67e+02)],Entrust136: [Suffix: schid (1.86e+01)],Entrust136: [Suffix: ren (0.00e+00)],Entrust136: [Suffix: ma (1.69e+02)],Facebook136: [Suffix: mu (5.58e-01)],Facebook136: [Suffix: sk (0.00e+00)],Facebook136: [Suffix: hr (1.66e+02)],Facebook136: [Suffix: studio (4.39e+00)],Facebook136: [Suffix: software (0.00e+00)],Facebook136: [Suffix: commx (1.66e+02)],Google136: [# of domains in cert (2.23e+00)],Google136: [Suffix: spgovbr (0.00e+00)],Google136: [Suffix: tmallcom (1.69e+02)],Google136: [Suffix: uolcombr (8.87e+00)],Google136: [Suffix: ren (0.00e+00)],Google136: [Suffix: hr (1.69e+02)],SSLMate136: [Suffix: gcca (3.63e+01)],SSLMate136: [Suffix: squarespacecom (0.00e+00)],SSLMate136: [Suffix: acth (1.69e+02)],SSLMate136: [Suffix: comsa (5.23e+01)],SSLMate136: [Suffix: ren (0.00e+00)],SSLMate136: [Suffix: govtw (1.69e+02)]
Censys137: [Suffix: acth (2.71e-01)],Censys137: [Suffix: studio (0.00e+00)],Censys137: [Suffix: dev (1.67e+02)],Censys137: [Suffix: ackr (6.58e+00)],Censys137: [Suffix: tmallcom (0.00e+00)],Censys137: [Suffix: ng (1.68e+02)],Entrust137: [Suffix: acjp (5.49e+00)],Entrust137: [Suffix: software (0.00e+00)],Entrust137: [Suffix: combo (1.66e+02)],Entrust137: [Suffix: coid (1.80e+01)],Entrust137: [Suffix: sk (0.00e+00)],Entrust137: [Suffix: gg (1.68e+02)],Facebook137: [Suffix: pt (5.47e-01)],Facebook137: [Suffix: software (0.00e+00)],Facebook137: [Suffix: comua (1.65e+02)],Facebook137: [Suffix: nu (4.39e+00)],Facebook137: [Suffix: spgovbr (0.00e+00)],Facebook137: [Suffix: ie (1.65e+02)],Google137: [Suffix: acir (2.22e+00)],Google137: [Suffix: squarespacecom (0.00e+00)],Google137: [Suffix: edeka (1.68e+02)],Google137: [Suffix: govaf (8.25e+00)],Google137: [Suffix: sk (0.00e+00)],Google137: [Suffix: edusg (1.68e+02)],SSLMate137: [Suffix: acir (3.56e+01)],SSLMate137: [Suffix: st (0.00e+00)],SSLMate137: [Suffix: ackr (1.68e+02)],SSLMate137: [Suffix: money (5.15e+01)],SSLMate137: [Suffix: sk (0.00e+00)],SSLMate137: [Suffix: cc (1.68e+02)]
